,request_id,id_encid,search_latitude,search_longitude
91,y_49D84076-E6A9-4413-A92F-58275AB85E5D_1532132111.81,eyLeTdan98_xO05nY1n-uQ,25.808038,-80.318418
92,y_F89CB743-66EE-44B8-93A6-F36739E0F143_1532204347.32,eyLeTdan98_xO05nY1n-uQ,25.8075795,-80.326056
93,y_13afd926-9bb4-41a7-a016-3ecb4b15a9ee_1532376369.97,WXjksRg9o4pIQ1gOfJciUw,25.9319408884223,-80.1931359128639
94,y_60764DBF-0B8D-43B7-8491-2E90D59E5AAB_1532493145.76,ff5TxV_B2hnldpf_zW49dw,25.934694,-80.131883
95,y_F89CB743-66EE-44B8-93A6-F36739E0F143_1532204347.32,eyLeTdan98_xO05nY1n-uQ,25.807507,-80.326049
96,y_B8ADB58E-6AC0-4D27-A631-F9AA15C32E44_1531972634.83,GVTRZVqWr9_ooJEa8qITkQ,25.766214,-80.239869
97,y_DEA198E6-6391-4132-9F61-40416962988B_1532461259.36,hMdjm2-vGBwiSvmui1S7mg,25.927961,-80.309436
98,y_8AE00F83-ECA4-4753-9A34-3F9FA08205B3_1532140910.16,RbllaCSGpc2bT-2TQ98Qcw,25.715218,-80.3305175
99,y_B8ADB58E-6AC0-4D27-A631-F9AA15C32E44_1531972634.83,GVTRZVqWr9_ooJEa8qITkQ,25.763559,-80.255087
100,y_B8ADB58E-6AC0-4D27-A631-F9AA15C32E44_1531972634.83,GVTRZVqWr9_ooJEa8qITkQ,25.766194,-80.239815
101,y_B8ADB58E-6AC0-4D27-A631-F9AA15C32E44_1531972634.83,xJhum-tgRz0CocA4sweu6A,25.766182,-80.239829
102,y_F89CB743-66EE-44B8-93A6-F36739E0F143_1532204347.32,eyLeTdan98_xO05nY1n-uQ,25.807482,-80.325999
103,y_0a724f77-b527-4d79-ad4d-ad0dd5bbcd02_1531969951.8,gbHgNUMDY-UYIXrwE7GN0g,25.798965,-80.2612577
104,y_9440C217-F40A-4C5C-A72D-719375E77626_1532371528.8,bVxx-GW8pOYpU93lowiwlQ,25.849078,-80.191194
105,y_F89CB743-66EE-44B8-93A6-F36739E0F143_1532204347.32,eyLeTdan98_xO05nY1n-uQ,25.807525,-80.326067
106,y_F89CB743-66EE-44B8-93A6-F36739E0F143_1532204347.32,eyLeTdan98_xO05nY1n-uQ,25.80753,-80.326056
107,y_9afcafec-605e-49f1-9007-f871df6ede26_1532119296.43,yp5qw1apFOStEBr3aCBlrw,25.7002074,-80.3351773
108,y_49D84076-E6A9-4413-A92F-58275AB85E5D_1532132111.81,eyLeTdan98_xO05nY1n-uQ,25.803305,-80.315574
109,y_5223E7C5-5B88-423F-ABB2-2E16ABC1E4B1_1532576204.51,xJhum-tgRz0CocA4sweu6A,25.770327,-80.3077245
110,y_22a746c0-71f6-4f3f-bacd-fbc3e4442bd9_1531916090.97,1GDara-37cF1xh_4GMx1HQ,25.9398762104237,-80.2447867773424
111,y_2A22B838-DF69-47A7-BE4B-2092C1F03020_1532541004.91,61qg5lIK6h_27CKrJ6_QLw,25.728016,-80.245533
112,y_F89CB743-66EE-44B8-93A6-F36739E0F143_1532204347.32,eyLeTdan98_xO05nY1n-uQ,25.8072795,-80.3261095
113,y_19B42A56-80D6-4BAB-A892-17D5EC777670_1532404100.88,zioqvZdUu_fbU61bZmnuYA,25.704867,-80.3037835
114,y_D2E9A7B3-D814-42F9-9C34-CB3E89F0B149_1532407085.96,Cg4hWnb2Chf87GTkqpPCPg,25.876245,-80.187426
115,y_036E8696-04EC-4C60-A82A-F5787CC654EE_1532279437.28,FnBJrv7kPIq-qkPTaqWnDA,25.7913235568962,-80.1325785769836
116,y_CDC30BB6-2B26-4FF4-AA70-A2344DAC7ECD_1531929258.46,yp5qw1apFOStEBr3aCBlrw,25.669452,-80.350602
117,y_60764DBF-0B8D-43B7-8491-2E90D59E5AAB_1532493145.76,ff5TxV_B2hnldpf_zW49dw,25.934605,-80.131663
118,y_B8ADB58E-6AC0-4D27-A631-F9AA15C32E44_1531972634.83,GVTRZVqWr9_ooJEa8qITkQ,25.766083,-80.226641
119,y_8AE00F83-ECA4-4753-9A34-3F9FA08205B3_1532140910.16,g85XPGM0km2eHjvXprIt1Q,25.731965,-80.3175005
120,y_8AE00F83-ECA4-4753-9A34-3F9FA08205B3_1532140910.16,g85XPGM0km2eHjvXprIt1Q,25.783353,-80.305985
121,y_B8ADB58E-6AC0-4D27-A631-F9AA15C32E44_1531972634.83,GVTRZVqWr9_ooJEa8qITkQ,25.766474,-80.225785
122,y_548ed75b-16b7-4147-9e32-74297c0b1016_1532393439.39,bVxx-GW8pOYpU93lowiwlQ,25.9003878,-80.1484407
123,y_5223E7C5-5B88-423F-ABB2-2E16ABC1E4B1_1532576204.51,xJhum-tgRz0CocA4sweu6A,25.7644045,-80.2439025
124,y_5223E7C5-5B88-423F-ABB2-2E16ABC1E4B1_1532576204.51,xJhum-tgRz0CocA4sweu6A,25.7838975,-80.2525315
125,y_548ed75b-16b7-4147-9e32-74297c0b1016_1532393439.39,bVxx-GW8pOYpU93lowiwlQ,25.8642886,-80.2260442
126,y_B8ADB58E-6AC0-4D27-A631-F9AA15C32E44_1531972634.83,GVTRZVqWr9_ooJEa8qITkQ,25.766182,-80.239829
127,y_B8ADB58E-6AC0-4D27-A631-F9AA15C32E44_1531972634.83,xJhum-tgRz0CocA4sweu6A,25.750072,-80.249854
128,y_A0E2B6A0-AA20-4051-B9AD-F643A92B4FD6_1532149577.44,7YJH1thlDnYj2jb77LbMVQ,25.798598,-80.203146
129,y_EE9882EF-DDFF-4E67-904E-84D5548CBC54_1532484599.49,f1q60Uy7fCnXH15mvPLBQg,25.9444195,-80.352503
130,y_80E4079B-EFF6-467F-9F5F-B69789954057_1532317073.05,7YJH1thlDnYj2jb77LbMVQ,25.795647,-80.143321
131,y_3F0A4FF1-7DD9-43D2-80EE-D78892E5E45D_1532407978.89,61qg5lIK6h_27CKrJ6_QLw,25.764573,-80.227375
132,y_B8ADB58E-6AC0-4D27-A631-F9AA15C32E44_1531972634.83,xJhum-tgRz0CocA4sweu6A,25.750007,-80.246324
133,y_13afd926-9bb4-41a7-a016-3ecb4b15a9ee_1532376369.97,WXjksRg9o4pIQ1gOfJciUw,25.9339339623541,-80.199206498244
134,y_DAC703E9-ABBC-4F55-954F-0AEC41576703_1532043834.14,ff5TxV_B2hnldpf_zW49dw,25.90272,-80.163727
135,y_0a724f77-b527-4d79-ad4d-ad0dd5bbcd02_1531969951.8,gbHgNUMDY-UYIXrwE7GN0g,25.7987424,-80.2560663
136,y_49D84076-E6A9-4413-A92F-58275AB85E5D_1532132111.81,eyLeTdan98_xO05nY1n-uQ,25.808051,-80.318475
