,session_id,latitude,longitude,title
29,y_72E1AB4D-5EEB-4DEC-9DD9-16C75A1A55EB_1532106441.39,33.693038,-84.368128,Fast Food
30,y_08bfc1a4-d14e-4a5b-a1da-f5e91eb7905e_1532213090.42,33.8206924,-84.3517563,Fast Food
31,y_BE7FD889-79CD-4C46-8001-791DDF80AD1E_1532220982.66,33.7479667287065,-84.3826679371094,Fast Food
32,y_B0C35CDF-7991-4CC3-BF85-B8D43A48D3D9_1531959081.07,33.758592,-84.383388,Fast Food
33,y_A63A6778-AD09-49E9-9006-4B06039E88BB_1531978780.26,33.7479667287065,-84.3826679371094,Fast Food
34,931D15F2617E6D65_1532393429.3,33.7479667287065,-84.3826679371094,Fast Food
35,y_AA318D16-2998-4E93-BA76-E5ADDD3EBB54_1531962606.55,33.840937,-84.381016,Fast Food
36,88D80E373516C182_1532220616.26,33.7575755750541,-84.3900620666121,Fast Food
37,y_DC3242A4-24F4-4C1C-99E2-60172C9277A0_1532193860.93,33.761055,-84.384599,Fast Food
38,y_B755C60A-0A15-4839-913E-B71D3230C291_1531961602.82,33.764816,-84.349979,Fast Food
39,y_59C4EBB3-1D1C-4A74-AE4A-A967DBF2896E_1532291352.11,33.782586,-84.381426,Fast Food
40,y_F647CBAC-9BC6-4FAD-88BC-646179D6794F_1532108093.11,33.7717008,-84.3726049,Fast Food
41,y_01A4F907-D028-49D0-8D98-75214668CBA3_1532209410.33,33.852206,-84.510054,Fast Food
42,y_6DBCFE07-58B7-4813-9241-36A46516290F_1532093291.48,33.7479667287065,-84.3826679371094,Fast Food
43,y_E881DD09-83A7-4795-94CC-45C7B649F361_1532050212.48,33.821991,-84.3037065,Fast Food
44,y_9BD9821E-CA2C-42E1-B364-2F7ECD6EE653_1532036400.72,33.812462,-84.336239,Fast Food
45,y_33C0D11D-81DE-4D6A-96D0-8A2FC21F365E_1532100881.2,33.7479667287065,-84.3826679371094,Fast Food
46,y_09CDD893-961B-4666-8316-C06E7B187F8B_1532216020.37,33.782879,-84.381547,Fast Food
47,87723357292F7CA3_1532020623.63,33.7585958877,-84.39456939695,Fast Food
48,y_0EF1A262-3399-481F-93BE-9B54BDA35039_1532131474.43,33.7439675,-84.4351765,Fast Food
49,y_1f96c384-bb72-49c4-89fe-884e5c99a181_1532301416.68,33.7695922,-84.3813234,Fast Food
50,y_88FCC8F7-A8BD-408E-ABBE-C65FF18D1139_1531959864.11,33.772017,-84.365665,Fast Food
51,y_dff69d1b-47ee-4fd1-9f93-3844379a8315_1532170591.14,33.6653312,-84.4387898,Fast Food
