,session_id,latitude,longitude,title
42,y_1035E926-E5A7-43AA-A8BE-F579A80C541D_1532459850.77,25.901206,-80.337977,Fast Food
43,y_20ff76e2-435b-46a2-8a84-ed190bc537da_1532468190.61,25.8654312,-80.2895621,Fast Food
44,y_956E31D5-5EA9-4240-81B9-B98A606EA4B8_1532466275.78,25.875885,-80.264256,Fast Food
45,y_C42B4E06-9DE0-440B-BB8C-67CEBBDA7C27_1532287611.55,25.874907,-80.3587575,Fast Food
46,y_FC735059-2237-43D7-9496-50F79AD13477_1532294118.57,25.882286,-80.336636,Fast Food
47,y_0312D4F5-2151-4CA0-8FBF-D99C90E73D4A_1532220457.62,25.9560235,-80.1735,Fast Food
48,y_89cdfd4c-72db-476e-af53-5e95a398c6ff_1532139325.89,25.9349038,-80.2103556,Fast Food
49,y_9A337891-0C46-48FE-8FD4-DE6010F96E12_1532374744.18,25.738384,-80.29688,Fast Food
50,y_E8FA7650-79AA-416A-8759-9891FA390156_1532541609.35,25.91466145,-80.31309605,Fast Food
51,y_AF681217-A954-44A5-97A6-6D36E4136173_1531906727.3,25.786481,-80.210713,Fast Food
52,y_81B46A43-6FE0-4E5B-8669-8A94EE9FC80C_1531928968.44,25.749977,-80.248766,Fast Food
53,y_1a0fe561-4c4e-4ec9-9af8-70e21aab3ced_1532013741.25,25.77004,-80.1893375,Fast Food
54,y_4EE49F0B-D5C4-4ABA-B30E-F18B8CB723A7_1532213410.32,25.7823975,-80.1894065,Fast Food
55,y_4EE49F0B-D5C4-4ABA-B30E-F18B8CB723A7_1532213410.32,25.786977,-80.189057,Fast Food
56,y_88FB7EA5-5E33-4C51-8986-BC26BAACA4A4_1532144799.71,25.7772935,-80.192373,Fast Food
57,y_92BEAF4D-6593-4532-8B39-713B0F74D7F4_1532202739.39,25.771224,-80.18915,Fast Food
58,y_DB94A81B-DFAD-4E84-80EC-B8D31AE549B8_1532342798.44,25.7767475,-80.189315,Fast Food
59,y_445ce9dd-283a-4eaf-9326-55d06862a234_1532289365.35,25.8124106,-80.1223757,Fast Food
60,y_8E3D9DD0-A8B2-45B2-8DB3-2931ADFDFD71_1532569268.79,25.880373,-80.122072,Fast Food
61,y_CC813851-939E-42B9-A3AA-A810F347EE31_1532534266.36,25.93574,-80.298796,Fast Food
62,y_E62D462A-6787-45BB-B076-728D8095B00E_1531975133.51,25.838338,-80.2375545,Fast Food
63,y_ED7166B1-C36E-4AF5-9CEA-9B6C7A1F61CA_1532585050.67,25.925843,-80.178,Fast Food
64,y_86D87234-077E-4E06-8451-AA6D08571A79_1532290232.85,25.81757,-80.332532,Fast Food
65,46C3D8362219A0EA_1532070109.68,25.7684721648829,-80.1831150054932,Fast Food
66,y_C0EE7939-C50F-47E9-A0DC-E91EB7E4BD9A_1531967937.45,25.69022,-80.314661,Fast Food
67,y_4213688C-2964-4CDF-80B8-CDCCC7537A3B_1532199461.73,25.673418,-80.320007,Fast Food
68,y_04068505-BBE3-4C7C-8B50-8FD785D521A1_1531948027.64,25.843608,-80.244612,Fast Food
69,y_DDB30781-A6B8-4B5D-96EA-5F3548392D0D_1532554036.3,25.784026,-80.1901455,Fast Food
70,y_A79594EB-FC61-4C90-B114-FFE31012E57B_1532118599.56,25.850746,-80.290113,Fast Food
71,y_B4B257E7-1FCD-46E0-BA8E-A4FD6CB0D6FB_1532012483.0,25.89272,-80.18375,Fast Food
72,y_52E04C83-6DB4-4876-9D27-51D3435028BD_1532532822.86,25.8078165,-80.1941075,Fast Food
73,y_C2255524-7F94-48E3-B26F-2190C3396B02_1532012422.8,25.833505,-80.205676,Fast Food
74,y_2F669134-6DD8-4668-A48B-1B1DE994932B_1532566635.41,25.956938,-80.223254,Fast Food
75,y_D9532F08-8AAA-4E24-A773-804716C34149_1531963467.34,25.932363,-80.122487,Fast Food
76,y_730aa23e-23ca-4d78-ab5a-9331d3e1d3e2_1531938566.3,25.7028046,-80.2951067,Fast Food
77,y_A81E9C84-5FDB-4893-B0C8-48CF83FCB9B2_1532103942.34,25.890164,-80.2244095,Fast Food
78,y_9A89F4D6-D05E-4EA4-957F-EEC6750100E2_1532136014.82,25.737624,-80.243607,Fast Food
79,y_CFF348E9-7BE1-4523-97D5-5B5C5F7284A9_1532375842.37,25.8310085,-80.225005,Fast Food
80,y_7a99c425-6439-41d4-91b0-26d76a07bd40_1532569296.0,25.779672,-80.3484268,Fast Food
81,y_9B4F8189-1B92-499F-B356-4A8610E4E693_1531950440.39,25.690015,-80.313489,Fast Food
82,y_ED6A83A0-6155-4CE0-AA9A-837DF2D327BF_1532196939.81,25.682284,-80.313989,Fast Food
83,y_08B2E503-47DF-4D37-9BA3-344C0D3B6D11_1532456802.14,25.716207,-80.342893,Fast Food
84,y_1660B677-40A5-40B6-AB11-D2A36D16FDB5_1532468230.21,25.6885212,-80.3169784,Fast Food
85,y_EA7E0EAB-564E-4693-9376-FC42B12AE00B_1532465550.03,25.729108,-80.359055,Fast Food
86,y_B5921DD4-8AAA-4B11-9FA5-88DDA97DDD84_1532388302.51,25.685665,-80.314416,Fast Food
87,y_2FE8FCDA-D076-42B0-941B-282F3332079D_1532354702.15,25.794016,-80.130143,Fast Food
88,y_47f694fc-9a85-4e03-8af1-42dcb05a0ff8_1532316513.33,25.7847915,-80.1333414,Fast Food
